A	Alay
AYM	Anayasa Mahkemesi
B	Batı
BADET	Batı Afrika Devletleri Ekonomik Topluluğu
BAE	Birleşik Arap Emirlikleri
bağ.	Bağlaç
BAĞ-KUR	Esnaf ve Sanatkârlar ve Diğer Bağımsız Çalışanlar Sosyal Sigortalar Kurumu
BAKB	Batı Afrika Kalkınma Bankası
BASAGM	Başbakanlık Aile ve Sosyal Araştırmalar Genel Müdürlüğü
BAT	TBB 
BATO	Batı Afrika Takas Odası
BAU	Bahçeşehir Üniversitesi
BAÜN	Balıkesir Üniversitesi
BAY	ÜNİ Bayburt Üniversitesi
BBC	İngiliz Radyo Televizyon Kurumu 
BCG	Verem aşısı 
Bçvş.	Başçavuş
BD	Bilim dalı
BDDK	Bankacılık Düzenleme ve Denetleme Kurulu
BDT	Bağımsız Devletler Topluluğu
BE	Büyükelçi
BERD	AİKB 
BEÜ	Bitlis Eren Üniversitesi
BİB	Bayındırlık ve İskân Bakanlığı
BİK	Basın İlan Kurumu
BIS	UÖB 
bit. b.	Bitki bilimi
biy.	Biyoloji
bk.	Bakınız
bl.	Bilişim
Bl.	Bölük
BM	Birleşmiş Milletler
BMAEK	Birleşmiş Milletler Avrupa Ekonomik Komisyonu
BMÇYT	Birleşmiş Milletler Çocuklara Yardım Teşkilatı
BMEBKT	Birleşmiş Milletler Eğitim, Bilim ve Kültür Teşkilatı
BMSKÖ	Birleşmiş Milletler Sınai Kalkınma Örgütü
BMT	Birleşmiş Milletler Teşkilatı
BMTKK	Birleşmiş Milletler Ticaret ve Kalkınma Konferansı
BMYRİ	Birleşmiş Milletler Yardım ve Rehabilitasyon İdaresi
Bn.	Bayan
Bnb.	Binbaşı
BOAD	BAKB
BOREN	Ulusal Bor Araştırma Enstitüsü
BOTAŞ	Boru Hatları ile Petrol Taşıma Anonim Şirketi
Böl.	Bölüm
BRT	Bartın Üniversitesi
bs.	Baskı, basım
BSEC	KEİ 
BSTDB	KTKB
Bşk.	Başkan, başkanlık, başkanı, başkanlığı
BTF	Başbakanlık Tanıtma Fonu Kurulu
BTK	Bilgi Teknolojileri ve İletişim Kurumu
BTÜ	Bursa Teknik Üniversitesi 
BUE	ABB 
Bul.	Bulvar, bulvarı
Bulg.	Bulgarca
BÜ	Başkent Üniversitesi
BÜMKO	Bütçe ve Mali Kontrol Genel Müdürlüğü
BVÜ	Bezmiâlem Vakıf Üniversitesi
BYEGM	Basın-Yayın ve Enformasyon Genel Müdürlüğü
C	Cilt
CACM	OAOP 
Cad.	Cadde, caddesi
CAEC	AKPM 
CAO	SHÖ 
CARICOM	KTOP
CBÜ	Celâl Bayar Üniversitesi
CC	Konsolosluk birimi 
CD	Kordiplomatik 
CDB	KKB 
CDH	AİHAD 
CE	AK 
CEAP	APİİB 
CECA	AKÇT 
CEDH	AİHM 
CEE	AET 
CEI	BDT 
CEN	ASK
CENTCOM	AMK
CENTO	MAÖ 
CERN	ANAM 
CGS	Uluslararası f izik birimleri sistemi
CIA	MHAT 
CIF	Maliyet-sigorta-navlun 
CİGM	Ceza İşleri Genel Müdürlüğü
CIJ	UAD 
CIOS	UBOK 
CIP	Taşıma ve sigorta bedeli ödenmiş olarak teslim
CIS	BDT 
CJCE	ATAD 
cm	Santimetre
CMEA	KEYK 
CMK	Ceza Muhakemesi Kanunu
CMUK	Ceza Muhakemeleri Usulü Kanunu
CNRS	UBAM 
coğ.	Coğrafya
COMCEC	İSEDAK
COMECON	KEYK 
COMESA	GDAOP 
cos	Kosinüs
CSO	Cumhurbaşkanlığı Senfoni Orkestrası
CTC	UŞM 
CTE	Ceza ve Tevkifevleri Genel Müdürlüğü
Cum.Bşk.	Cumhurbaşkanı, Cumhurbaşkanlığı
CÜ	Cumhuriyet Üniversitesi
ÇAĞ	ÜNİ Çağ Üniversitesi
ÇASGEM	Çalışma ve Sosyal Güvenlik Eğitim ve Araştırma Merkezi
ÇAYKUR	Çay İşletmeleri Genel Müdürlüğü
ÇED	Çevresel Etki Değerlendirmesi ve Planlama Genel Müdürlüğü
çev.	Çeviren
ÇGM	Çalışma ve Sosyal Güvenlik Bakanlığı Çalışma Genel Müdürlüğü
ÇNÜ	Çankırı Karatekin Üniversitesi
ÇOMÜ	Çanakkale Onsekiz Mart Üniversitesi
ÇS	Çimento Sanayisi
ÇSGB	Çalışma ve Sosyal Güvenlik Bakanlığı
ÇUKOBİRLİK	Çukurova Pamuk Tarım Satış Kooperatif leri Birliği
ÇÜ	Çankaya Üniversitesi
Çvş.	Çavuş
ÇYGM	Çevre Yönetimi Genel Müdürlüğü
D	Doğu
DAGM	Devlet Arşivleri Genel Müdürlüğü
DAKB	Doğu Afrika Kalkınma Bankası
dal	Dekalitre
dam	Dekametre
DAP	Doğu Anadolu Projesi
DAT	Doğu Afrika Topluluğu
DB	Dünya Bankası
db.	Dil bilgisi
DBAFİT	Dünya Bankalar Arası Finansal İletişim Topluluğu
DDB	Dernekler Dairesi Başkanlığı
DDT	Böcek öldü-rücü 
DDY	Devlet Deniz Yolları
DESİYAB	Devlet Sanayi ve İşçi Yatırım Bankası
DEÜ	Dokuz Eylül Üniversitesi
DFİF	Destekleme ve Fiyat İstikrar Fonu
DFMHÖ	Dünya Fikrî Mülkiyet Hakları Örgütü
dg	Desigram
DGK	Dünya Gıda Konseyi
DGM	Devlet Güvenlik Mahkemesi
DGÖ	Dünya Gümrük Örgütü
DGS	Dikey Geçiş Sınavı
DHMİ	Devlet Hava Meydanları İşletmesi 
DİB	Diyanet İşleri Başkanlığı
DİE	Devlet İstatistik Enstitüsü
dil b.	Dil bilimi
DİYİH	Çalışma ve Sosyal Güvenlik Bakanlığı Dış İlişkiler ve Yurt Dışı İşçi Hizmetleri Genel Müdürlüğü
dk.	Dakika
DKK	Deniz Kuvvetleri Komutanlığı
DKMP	Doğa Koruma ve Millî Parklar Genel Müdürlüğü
dl	Desilitre
DLH	Demiryollar Limanlar ve Hava Meydanları İnşaatı Genel Müdürlüğü
dm	Desimetre
DMİ	Devlet Meteoroloji İşleri Genel Müdürlüğü
DMO	Devlet Malzeme Of isi
DNA	Deoksirübo nükleik asit
DOBGM	Devlet Opera ve Balesi Genel Müdürlüğü
Doç.	Doçent
doğ.	Doğum tarihi
DOÜ	Doğuş Üniversitesi
DÖGM	Din Öğretimi Genel Müdürlüğü
DÖSİM	Kültür ve Turizm Bakanlığı Döner Sermaye İşletmesi Merkez Müdürlüğü
DPB	Devlet Planlama Başkanlığı
DPT	Devlet Planlama Teşkilatı Müsteşarlığı
DPÜ	Dumlupınar Üniversitesi
Dr.	Doktor
drl.	Derleyen
DSİ	Devlet Su İşleri Genel Müdürlüğü
DSO	Devlet Sanayi Of isi
DSÖ	Dünya Sağlık Örgütü
DT	Devlet Tiyatroları Genel Müdürlüğü
DTCF	Dil ve Tarih-Coğrafya Fakültesi
DTM	Dış Ticaret Müsteşarlığı
DTÖ	Dünya Ticaret Örgütü
DÜ	Dicle Üniversitesi
DVD	SYD 
Dz. Kuv. K.	Deniz Kuvvetleri Komutanı, Komutanlığı
Dz. Kuv.	Deniz Kuvvetleri
dzl.	Düzenleyen
E	Eczane
EAC	AİBÖ 
EADB	DAKB 
EAEC	AAET 
EAGGF	ATYGF 
EAT	Eski Anadolu Türkçesi
EBK	Et ve Balık Kurumu Genel Müdürlüğü
EBRD	AİKB (European Bank for Reconstruction and Development
EBU	AYB 
EBWE	AİKB 
EC	AT 
ECB	AMB 
ECE	BMAEK 
ECHR	AİHM 
ECJ	ATAD 
ECLA	LAKEK 
ECOWAS	BADET 
ECSC	AKÇT 
Ecz.	Eczacı
ed.	Edebiyat
EEC	AET 
EEG	Beyin akım graf iği 
EFT	Bankalar arası para aktarımı 
EFTA	ASTB 
EGM	Emniyet Genel Müdürlüğü
EGMR	AİHM 
EGO	Ankara Belediyesi Elektrik, Gaz, Otobüs İşletmeleri
EĞİTEK	Eğitim Teknolojileri Genel Müdürlüğü
EIB	AYB 
EİBKT	Ekonomik İş Birliği ve Kalkınma Teşkilatı
EİBÖ	Ekonomik İş Birliği Örgütü
EİEİ	Elektrik İşleri Etüt İdaresi Genel Müdürlüğü
EKG	Kalp akım graf iği 
ekon.	Ekonomi
EMG	Kas akım graf iği 
EMI	APE 
EMK	Elektromotor kuvvet
EMU	AİPB 
Ens.	Enstitü, enstitüsü
EPA	APÖ 
EPDK	Enerji Piyasası Düzenleme Kurulu
EPU	AÖB 
ERDEMİR	Ereğli Demir Çelik Fabrikaları
ERDF	ABKF 
Erm.	Ermenice
ERÜ	Erciyes Üniversitesi
ESA	AUA 
ESF	ASF 
ESGM	Esnaf ve Sanatkârlar Genel Müdürlüğü
ESHOT	İzmir Belediyesi Elektrik, Su, Hava Gazı, Otobüs, Tramvay İşletmeleri
ESOGÜ	Eskişehir Osmangazi Üniversitesi
ET	Eski Türkçe 
ETKB	Enerji ve Tabii Kaynaklar Bakanlığı
ETOGM	Erkek Teknik Öğretim Genel Müdürlüğü
EU	AB 
EuGH	ATAD 
EURATOM	AAET 
EÜ	Ege Üniversitesi
EÜAŞ	Elektrik Üretim Anonim Şirketi
EWG	AET 
EXİMBANK	Türkiye İhracat ve Kredi Bankası
f.	Fiil
F	Fiyat
FAB	Federal Araştırma Bürosu
FAC	YİBF
Fak.	Fakülte
Fak-Fuk	Fon Sosyal Yardımlaşma ve Dayanışmayı Teşvik Fonu
FAO	GTÖ 
Far.	Farsça
FBA	Fransız Basın Ajansı
FBI	FAB 
fel.	Felsefe
FIBA	UBF 
FIDE	USF 
FIDES	İSKYF
FIFA	UFF 
fil.	Filoloji, f ilolojisi
FILA	UAGF 
FIR	Uçuş hattı düzenlemesi 
FİSKOBİRLİK	Fındık Tarım Satış Kooperatifleri Birliği
fiz.	Fizik
fizy.	Fizyoloji
FKB	Fizik, kimya, biyoloji
FM	Frekans modülasyonu 
FMVIÜ	Işık Üniversitesi
fob	Malın belirlenen limanda gemi üzerindeki teslim f iyatı 
Fr.	Fransızca
FRB	AMB 
FSMVÜ	Fatih Sultan Mehmet Vakıf Üniversitesi
FTAA	ASTB 
FÜ	Fırat Üniversitesi
g	Gram
G	Güney
GAMHK	Güney Avrupa Müttefik Hava Kuvvetleri
GAP	Güneydoğu Anadolu Projesi
GAPBKİ	GAP Bölge Kalkınma İdaresi Başkanlığı
GATA	Gülhane Askerî Tıp Akademisi
GAUT	Güneydoğu Asya Uluslar Topluluğu 
GAZÜ	Gaziantep Üniversitesi
GB	Bilgisayarda bellek birimi 
GBT	Genel Bilgi Taraması
GD	Güneydoğu
GDAOP	Güney ve Doğu Afrika Ortak Pazarı
Gen.	General
geom.	Geometri
GİB	Gelir İdaresi Başkanlığı
GİGM	Başbakanlık Güvenlik İşleri Genel Müdürlüğü
gn.	Genel
Gnkur.	Genelkurmay
GOÜ	Gaziosmanpaşa Üniversitesi
Gön.	Gönderen
gr.	Gramer
Grt	Groston
GSGM	Gençlik ve Spor Genel Müdürlüğü
GSM	Mobil cep telefonu 
GSMH	Gayrisafi millî hasıla
GSÜ	Galatasaray Üniversitesi
GSYH	Gayrisafi yurt içi hasıla
GTÖ	Gıda ve Tarım Örgütü
GUS	BDT 
GÜ	Gazi Üniversitesi
GYD	Görüntülü yoğun disk
GYTE	Gebze Yüksek Teknoloji Enstitüsü
GZK	Gazikent Üniversitesi
H	Hicri
HA	Harp Akademisi
HABITAT	Birleşmiş Milletler İnsan Yerleşimleri Konferansı 
HACCP	Kritik kontrol noktalarında tehlike analizi
HAVAŞ	Hava Alanları ve Yer Hizmetleri Genel Müdürlüğü
hay. b.	Hayvan bilimi
haz.	Hazırlayan
HDD	Ana bellek sürücüsü 
hek.	Hekimlik, hekim, hekimi
HGK	Harita Genel Komutanlığı
HGM	Haberleşme Genel Müdürlüğü
HIV	AIDS hastalığına neden olan virüs 
HİTÜ	Hitit Üniversitesi
HKK	Hava Kuvvetleri Komutanlığı
hl	Hektolitre
hlk.	Halk ağzı
HM	Hazine Müsteşarlığı
hm	Hektometre
HMUK	Hukuk Muhakemeleri Usulü Kanunu
HO	Harp Okulu 
HRÜ	Harran Üniversitesi
Hs. Uzm.	Hesap Uzmanı
HSSGM	Sağlık Bakanlığı Hudut ve Sahiller Sağlık Genel Müdürlüğü
HUK	Maliye Bakanlığı Hesap Uzmanları Kurulu Başkanlığı
huk.	Hukuk
HÜ	Hacettepe Üniversitesi
Hv. Kuv. K.	Hava Kuvvetleri Komutanı, Komutanlığı
Hv. Kuv.	Hava Kuvvetleri
Hz. öz.	Hizmete özel
Hz.	Hazret, Hazreti
IĞDÜ	Iğdır Üniversitesi
IAAF	UAAF 
IAEA	UAEA 
IATA	UHTB 
İAÜ	İstanbul Aydın Üniversitesi
IBEC	UEİBB 
İbr.	İbranice
IBRD	UİKB 
İBÜ	İstanbul Bilim Üniversitesi
İBÜN	İstanbul Bilgi Üniversitesi
ICAO	USHÖ 
ICC	UTO 
ICIC	UHİK 
ICJ	UAD 
ICRC	UKK 
ICSID	UYAÇM 
IDA	UKA 
IDB	İKB 
İDBÜ	İhsan Doğramacı Bilkent Üniversitesi
İDT	İktisadi Devlet Teşekkülleri
IEA	UEA 
İEGM	İlaç ve Eczacılık Genel Müdürlüğü
İETT	İstanbul Elektrik, Tünel, Tramvay İşletmesi
İEÜ	İzmir Ekonomi Üniversitesi
IFAD	UTKF 
IFC	UFK 
IFOAM	UETHF 
İGB	Başbakanlık İdareyi Geliştirme Başkanlığı
İGEME	İhracatı Geliştirme Etüd Merkezi
IGH	UAD 
İGM	İlköğretim Genel Müdürlüğü
İHB	İnsan Hakları Başkanlığı
İKB	İslam Kalkınma Bankası
İKBÜ	İstanbul Kemerburgaz Üniversitesi
İKÖ	İslam Konferansı Örgütü
İKÜ	İstanbul Kültür Üniversitesi 
İKV	İktisadi Kalkınma Vakfı
İLBANK	İller Bankası Genel Müdürlüğü
ILO	UÇÖ 
IMF	UPF 
İMKB	İstanbul Menkul Kıymetler Borsası
IMO	UDÖ 
İng.	İngilizce
INTERPOL	Uluslararası Cinayet Polisi Komisyonu 
İO	İlköğretim okulu
IOC	UOK 
IPI	UBE 
IRO	UMT 
is.	İsim
ISBN	Uluslararası standart kitap numarası 
İSDEMİR	İskenderun Demir Çelik Fabrikaları
İSEDAK	İslam Konferansı Örgütü Ekonomik ve Ticari İş Birliği Daimî Komitesi
İSG	İş Sağlığı ve Güvenliği Genel Müdürlüğü
İSKİ	İstanbul Su ve Kanalizasyon İdaresi
İSKYF	İktisadi ve Sosyal Kalkınma Yatırım Fonları
ISMN	Uluslararası standart müzik numarası 
ISO	USÖ 
İSO	İstanbul Sanayi Odası
İsp.	İspanyolca
ISSN	Uluslararası standart dizi numarası 
İŞKUR	Türkiye İş Kurumu
işl.	İşleyen
İŞOT	İstanbul Şehirler Arası Otobüs Terminali
İt.	İtalyanca
İTB	İstanbul Ticaret Borsası
ITC	UTM 
İTG	İç Ticaret Genel Müdürlüğü
İTİCÜ	İstanbul Ticaret Üniversitesi
ITO	Birleşmiş Milletler Uluslararası Ticaret Birliği 
İTO	İstanbul Ticaret Odası
İTÜ	İstanbul Teknik Üniversitesi
İÜ	İnönü Üniversitesi
IWF	UPF 
İYTE	İzmir Yüksek Teknoloji Enstitüsü
İZTB	İzmir Ticaret Borsası
İZTO	İzmir Ticaret Odası
J	Jandarma
JAL	JHY 
Jap.	Japonca
jeol.	Jeoloji
JGK	Jandarma Genel Komutanlığı
JHY	Japon Hava Yolları 
K	Kuzey
kal	Kalori
KARDEMİR	Karabük Demir Çelik Fabrikaları
KASTB	Kuzey Amerika Serbest Ticaret Bölgesi
KAÜ	Kafkas Üniversitesi
KB	Kuzeybatı
KBB	Kulak, Burun, Boğaz
KBÜ	Karabük Üniversitesi
KD	Kuzeydoğu
KDV	Katma değer vergisi
KED	Kablosuz Erişim Düzeneği
KEGM	Kıyı Emniyeti Genel Müdürlüğü
KEİ	Karadeniz Ekonomik İş Birliği
KEYK	Karşılıklı Ekonomik Yardım Konseyi
kg	Kilogram
KGB	Sovyet Gizli Haber Alma Teşkilatı 
KGM	Adalet Bakanlığı Kanunlar Genel Müdürlüğü
KHK	Kanun hükmünde kararname
KHÜ	Kadir Has Üniversitesi
KHz	Kilohertz
KİBİB	Kalkınma İçin Bölgesel İş Birliği
KİK	Kamu İhale Kurumu
kim.	Kimya
KİT	Kamu İktisadi Teşekkülü
KİYÜ	Kilis 7 Aralık Üniversitesi
KKB	Karayip Kalkınma Bankası
KKGM	Tarım ve Köyişleri Bakanlığı Koruma ve Kontrol Genel Müdürlüğü
KKK	Kara Kuvvetleri Komutanlığı
KKTC	Kuzey Kıbrıs Türk Cumhuriyeti
KLÜ	Kırklareli Üniversitesi
km	Kilometre
KMS	Kurumlar İçi Merkezî Eleme Sınavı
KMÜ	Karamanoğlu Mehmetbey Üniversitesi
KOBİ	Küçük ve Orta Boy  İşletme
KOİ	Kamu Ortaklığı İdaresi
koor.	Koordinasyon
Kor.	Kolordu
Kora.	Koramiral
Korg.	Korgeneral
KOSGEB	Küçük ve Orta Ölçekli İşletmeleri Geliştirme ve Destekleme İdaresi Başkanlığı
KOÜ	Kocaeli Üniversitesi
KPDS	Kamu Personeli Yabancı Dil Bilgisi Seviye Tespit Sınavı
KPSS	Kamu Personel Seçme Sınavı
kr.	Kuruş 
krş.	Karşılaştırınız
KSDB	Kanserle Savaş Dairesi Başkanlığı
KSGM	Kadının Statüsü Genel Müdürlüğü
KSÜ	Kahramanmaraş Sütçü İmam Üniversitesi
KTKB	Karadeniz Ticaret ve Kalkınma Bankası
KTO-KÜ	KTO Karatay Üniversitesi
KTOP	Karayip Topluluğu ve Ortak Pazarı
KTÖGM	Kız Teknik Öğretim Genel Müdürlüğü
KTÜ	Karadeniz Teknik Üniversitesi
KUGM	Kara Ulaştırma Genel Müdürlüğü
Kur. Bşk.	Kurmay Başkanı, Başkanlığı
Kur.	Kurmay
KÜ	Kastamonu Üniversitesi
KVMGM	Kültür Varlıkları ve Müzeler Genel Müdürlüğü
KYGM	Kütüphaneler ve Yayımlar Genel Müdürlüğü
l	Litre
LABB	Latin Amerika Bütünleşme Birliği
LAFTA	LASTB 
LAIA	LABB 
LAKEK	Latin Amerika ve Karayipler Ekonomik Komisyonu
LASTB	Latin Amerika Serbest Ticaret Bölgesi
Lat.	Latince
LCV	Lütfen cevap veriniz
LES	Lisansüstü Eğitim Giriş Sınavı
LP	Uzunçalar 
LPG	Sıvılaştırılmış Petrol Gazı 
Ltd.	Limitet
LYS	Lisans Yerleştirme Sınavı
m	Metre
M	Miladi
Mac.	Macarca
Mah.	Mahalle, mahallesi
MAKÜ	Mehmet Akif Ersoy Üniversitesi
man.	Mantık
MAÖ	Merkezî Antlaşma Örgütü
MASAK	Mali Suçları Araştırma Kurulu Başkanlığı
mat.	Matematik
MAÜ	Mardin Artuklu Üniversitesi
MB	Maliye Bakanlığı
Md.	Müdür, müdürlük, müdürlüğü
MEB	Millî Eğitim Bakanlığı
mec.	Mecaz
MEÜ	Mersin Üniversitesi
MGK	Millî Güvenlik Kurulu Genel Sekreterliği
MGM	İçişleri Bakanlığı Mahalli İdareler Genel Müdürlüğü
MĞÜ	Muğla Üniversitesi 
MHAT	Merkezî Haber Alma Teşkilatı
MHz	Megahertz
MİGEM	Maden İşleri Genel Müdürlüğü
MİLE	Millî Emlak Genel Müdürlüğü
mim.	Mimarlık
min.	Mineraloji
MİT	Millî İstihbarat Teşkilatı Müsteşarlığı
MK	Medeni Kanun
MKB	Millî Kütüphane Başkanlığı
MKE	Makine ve Kimya Endüstrisi Kurumu
MKS	Metre-Kilogram-Saat
MKÜ	Mustafa Kemal Üniversitesi
MKYK	Merkez Karar Yönetim Kurulu
mm	Milimetre
MOBESE	Bölgesel güvenlik sistemi 
MOSSAD	İsrail Gizli Haber Alma Örgütü
MÖ	Milattan önce
MPİ	Millî Piyango İdaresi Genel Müdürlüğü
MPM	Millî Prodüktivite Merkezi
MR	Manyetik rezonans görüntüleme
MS	Milattan sonra
MSB	Millî Savunma Bakanlığı
MSGSÜ	Mimar Sinan Güzel Sanatlar Üniversitesi
MTA	Maden Tetkik ve Arama Genel Müdürlüğü
MÜ	Maltepe Üniversitesi
Müh.	Mühendis, mühendisi, mühendislik
Mür.	Müracaat
müz.	Müzik
MYK	Mesleki Yeterlilik Kurumu
NAFTA	KASTB 
NASA	Amerikan Ulusal Havacılık ve Uzay Araştırmaları Merkezi 
NATO	Kuzey Atlantik Antlaşması Teşkilatı 
NEÜ	Nevşehir Üniversitesi
NĞÜ	Niğde Üniversitesi
NKÜ	Namık Kemal Üniversitesi
No.	Numara
NOTAM	Havacılar ve denizciler için uyarı bildirimi 
Nö.	Nöbetçi
Nö. Sb.	Nöbetçi subayı
NVİGM	Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü
OACI	USHÖ 
OAE	ABÖ 
OAİB	Orta Anadolu İhracatçı Birlikleri Genel Sekreterliği
OAOP	Orta Amerika Ortak Pazarı
OAPEC	PİEAÜÖ 
OAU	ABÖ  
OBESİD	Okul İçi Beden Eğitimi Spor ve İzcilik Dairesi Başkanlığı
OCDE	EİBKT 
OCI	İKÖ 
ODTÜ	Orta Doğu Teknik Üniversitesi
ODÜ	Ordu Üniversitesi
OECD	EİBKT 
OEEC	AEİBÖ 
OGM	Orman Genel Müdürlüğü
OIC	İKÖ 
OIEC	UİİBÖ 
OKAN	Okan Üniversitesi
OKÖNEGM	Okul Öncesi Eğitimi Genel Müdürlüğü
Okt.	Okutman
OKÜ	Osmaniye Korkut Ata Üniversitesi
OMC	DTÖ 
OMI	UDÖ 
OMÜ	Ondokuz Mayıs Üniversitesi
Onb.	Onbaşı
OPEC	PİEÜT 
OPEP	PİEÜT 
Opr.	Operatör
Or.	Ordu
Ora.	Oramiral
Ord.	Ordinaryüs
Org.	Orgeneral
ORKÖY	Orman-Köy İlişkileri Genel Müdürlüğü
Ort.	Ortaklık, ortakları, ortaklığı
OSB	Organize Sanayi Bölgesi
Osm. T.	Osmanlı Türkçesi
OSZE	AGİT 
OUA	ABÖ 
OYAK	Ordu Yardımlaşma Kurumu
OYEGM	Öğretmen Yetiştirme ve Eğitimi Genel Müdürlüğü
ÖÇKKB	Özel Çevre Koruma Kurumu Başkanlığı
ÖİB	Özelleştirme İdaresi Başkanlığı
öl.	Ölüm tarihi
ÖÖKGM	Özel Öğretim Kurumları Genel Müdürlüğü
ör.	Örnek
ÖRGM	Özel Eğitim Rehberlik ve Danışma Hizmetleri Genel Müdürlüğü
ÖSGM	Sanayi ve Ticaret Bakanlığı Ölçüler ve Standartlar Genel Müdürlüğü
ÖSS	Öğrenci Seçme Sınavı
ÖSYM	Ölçme, Seçme ve Yerleştirme Merkezi
ÖTV	Özel tüketim vergisi
ÖYK	Özelleştirme Yüksek Kurulu
